,_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
0,502808352,7/13/2014 13:48:35,,1321892767,7/13/2014 13:48:14,clixsense,0.9167,27871219,NLD,07,Amsterdam,87.210.207.223,IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,41,128,,69,142,treats,1.0,907845-FS1-2,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE,RO-may_treat
21,502808356,7/13/2014 15:03:15,,1321929913,7/13/2014 15:02:19,elite,0.7333,28397222,GBR,,,31.49.231.211,SALMETEROL treats EXERCISE INDUCED ASTHMA,21,0,,44,10,treats,0.99654575824488,907104-FS1-2,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL,RO-may_prevent
28,502808357,7/13/2014 13:55:56,,1321896295,7/13/2014 13:55:20,instagc,0.6667,19378092,USA,PA,Reading,174.55.181.238,no_relation,85,53,,94,79,causes,0.8834522085987719,906277-FS1-4,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME,RO-has_manifestation
42,502808362,7/13/2014 14:07:58,,1321902039,7/13/2014 14:07:28,prodege,0.9444,23977248,GBR,B5,Wembley,82.28.55.95,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,45,0,,71,11,causes,0.948683298050514,903581-FS1-4,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA,RO-has_causative_agent
63,502808365,7/13/2014 13:42:25,,1321890121,7/13/2014 13:42:14,clixsense,1.0,27793793,GBR,C5,Chester,151.230.27.155,SEIZURES causes STATUS EPILEPTICUS,87,114,,95,132,causes,0.577350269189626,904608-FS1-4,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS,RO-has_definitional_manifestation
77,502808369,7/13/2014 13:56:44,,1321896676,7/13/2014 13:56:36,neodev,0.875,25224036,CAN,ON,Sudbury,67.204.218.187,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,86,50,,112,70,treats,0.964901281354015,907986-FS1-2,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE,RO-may_treat
91,502808371,7/13/2014 13:56:51,,1321896751,7/13/2014 13:56:45,neodev,0.875,25224036,CAN,ON,Sudbury,67.204.218.187,LIVER causes HEPATOCELLULAR CARCINOMA,168,60,,173,84,causes,0.707106781186547,902330-FS1-4,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA,RO-disease_has_primary_anatomic_site
119,502808381,7/13/2014 14:07:27,,1321901798,7/13/2014 14:06:46,prodege,0.9444,23977248,GBR,B5,Wembley,82.28.55.95,CEFACLOR treats PHARYNGITIS,144,181,,155,189,treats,0.9760921603577252,908192-FS1-2,Patients with otitis media received approximately 40 mg/kg/day of cefaclor or amoxicillin trihydrate for ten days to three weeks; patients with PHARYNGITIS received 20 mg/kg/day of CEFACLOR or penicillin V potassium for ten days.,PHARYNGITIS,CEFACLOR,RO-may_treat
133,502808384,7/13/2014 13:43:05,,1321890373,7/13/2014 13:42:53,clixsense,1.0,27793793,GBR,C5,Chester,151.230.27.155,ADALIMUMAB treats RHEUMATOID ARTHRITIS,88,125,,108,135,treats,0.981980506061966,908133-FS1-2,The objective of this study is to perform a cost effective analysis of 86 patients with RHEUMATOID ARTHRITIS in therapy with ADALIMUMAB 40 mg every other week and etanercept 50 mg/week for two years in a population of patients observed in clinical practice.,RHEUMATOID ARTHRITIS,ADALIMUMAB,RO-may_treat
168,502808391,7/13/2014 13:59:47,,1321898142,7/13/2014 13:59:01,tremorgames,0.8611,24449707,CAN,QC,Laval,96.21.249.72,METHENAMINE HIPPURATE treats SYMPTOMATIC URINARY TRACT INFECTION,17,90,,52,111,treats,0.964763821237732,907215-FS1-2,The incidence of SYMPTOMATIC URINARY TRACT INFECTION also decreased during treatment with METHENAMINE HIPPURATE,SYMPTOMATIC URINARY TRACT INFECTION,METHENAMINE HIPPURATE,RO-may_prevent
